col1,col2,correlation
Age,Age,1.0
Age,Flight Distance,-0.2496250262824619
Age,Seat comfort,0.008784235566822968
Age,Departure/Arrival time convenient,0.03905545574502036
Age,Food and drink,0.015748531719418483
Age,Gate location,-5.473242174929647E-4
Age,Inflight wifi service,0.013964542902877628
Age,Inflight entertainment,0.13051076864520444
Age,Online support,0.12120087423323551
Age,Ease of Online booking,0.07159386882885514
Age,On-board service,0.06670371719639667
Age,Leg room service,0.0837622693347125
Age,Baggage handling,-0.015452234206265023
Age,Checkin service,0.031845061368217076
Age,Cleanliness,-0.01827111267480033
Age,Online boarding,0.03797291480301426
Age,Departure Delay in Minutes,-0.009040585852670289
Age,Arrival Delay in Minutes,-0.011205962237137965
Flight Distance,Age,-0.24962502628246186
Flight Distance,Flight Distance,1.0
Flight Distance,Seat comfort,-0.042408759453718976
Flight Distance,Departure/Arrival time convenient,0.0013502877430517366
Flight Distance,Food and drink,-0.004649200130603053
Flight Distance,Gate location,-0.0024088881570615396
Flight Distance,Inflight wifi service,0.01223022234886082
Flight Distance,Inflight entertainment,-0.02754231173123632
Flight Distance,Online support,-0.03202248370454572
Flight Distance,Ease of Online booking,-0.022299283851114682
Flight Distance,On-board service,-0.03255903942409824
Flight Distance,Leg room service,-0.030315769893679338
Flight Distance,Baggage handling,0.019768397114218583
Flight Distance,Checkin service,0.002455650444518459
Flight Distance,Cleanliness,0.009431812539736127
Flight Distance,Online boarding,0.009603524945973881
Flight Distance,Departure Delay in Minutes,0.11255544011217526
Flight Distance,Arrival Delay in Minutes,0.10973348892055752
Seat comfort,Age,0.008784235566822974
Seat comfort,Flight Distance,-0.04240875945371897
Seat comfort,Seat comfort,1.0
Seat comfort,Departure/Arrival time convenient,0.4349512012800899
Seat comfort,Food and drink,0.7159971305521263
Seat comfort,Gate location,0.40529961252732605
Seat comfort,Inflight wifi service,0.12913066033842557
Seat comfort,Inflight entertainment,0.4264471150153773
Seat comfort,Online support,0.12027826578174684
Seat comfort,Ease of Online booking,0.2115306829041544
Seat comfort,On-board service,0.12114883742800979
Seat comfort,Leg room service,0.13613569615059876
Seat comfort,Baggage handling,0.11848862920676127
Seat comfort,Checkin service,0.041213652155742464
Seat comfort,Cleanliness,0.1084750736505568
Seat comfort,Online boarding,0.1303964840900625
Seat comfort,Departure Delay in Minutes,-0.023817101588123495
Seat comfort,Arrival Delay in Minutes,-0.02546263795764821
Departure/Arrival time convenient,Age,0.03905545574502037
Departure/Arrival time convenient,Flight Distance,0.001350287743051742
Departure/Arrival time convenient,Seat comfort,0.43495120128008996
Departure/Arrival time convenient,Departure/Arrival time convenient,1.0
Departure/Arrival time convenient,Food and drink,0.5273811938547652
Departure/Arrival time convenient,Gate location,0.5442585238077263
Departure/Arrival time convenient,Inflight wifi service,-0.001973702086760989
Departure/Arrival time convenient,Inflight entertainment,0.07720291358769261
Departure/Arrival time convenient,Online support,-5.462471241297044E-4
Departure/Arrival time convenient,Ease of Online booking,0.0017554893171488639
Departure/Arrival time convenient,On-board service,0.06044636928805186
Departure/Arrival time convenient,Leg room service,0.029421856812467135
Departure/Arrival time convenient,Baggage handling,0.06739615507601251
Departure/Arrival time convenient,Checkin service,0.06279376966183692
Departure/Arrival time convenient,Cleanliness,0.06712570301172989
Departure/Arrival time convenient,Online boarding,-6.234597665827144E-4
Departure/Arrival time convenient,Departure Delay in Minutes,0.004395131278239804
Departure/Arrival time convenient,Arrival Delay in Minutes,0.0024997521071358606
Food and drink,Age,0.0157485317194185
Food and drink,Flight Distance,-0.004649200130603051
Food and drink,Seat comfort,0.7159971305521263
Food and drink,Departure/Arrival time convenient,0.5273811938547652
Food and drink,Food and drink,1.0
Food and drink,Gate location,0.5233278700311664
Food and drink,Inflight wifi service,0.025916869874113194
Food and drink,Inflight entertainment,0.367669100569211
Food and drink,Online support,0.02855389459849748
Food and drink,Ease of Online booking,0.04118889604708314
Food and drink,On-board service,0.03864606089395735
Food and drink,Leg room service,0.07416052955978664
Food and drink,Baggage handling,0.03637000326912943
Food and drink,Checkin service,0.011897905189420353
Food and drink,Cleanliness,0.033415903185104026
Food and drink,Online boarding,0.013587184252904578
Food and drink,Departure Delay in Minutes,-0.013432558997255411
Food and drink,Arrival Delay in Minutes,-0.014845240469076478
Gate location,Age,-5.473242174929664E-4
Gate location,Flight Distance,-0.0024088881570615422
Gate location,Seat comfort,0.40529961252732605
Gate location,Departure/Arrival time convenient,0.5442585238077263
Gate location,Food and drink,0.5233278700311664
