Distance Bin,satisfaction,Percentage
2300-2600,dissatisfied,57.729007633587784
2000-2300,satisfied,43.0471584038694
1400-1700,satisfied,38.60201511335013
2300-2600,satisfied,42.270992366412216
1400-1700,dissatisfied,61.39798488664987
2600-3000,dissatisfied,57.58323057953144
1700-2000,satisfied,38.63757317722193
2000-2300,dissatisfied,56.95284159613059
2600-3000,satisfied,42.41676942046856
1100-1400,dissatisfied,65.39833531510108
1700-2000,dissatisfied,61.36242682277807
1100-1400,satisfied,34.60166468489893
