Parameter,Satisfaction,Average_Score
Baggage handling,Satisfied,4.355555555555555
Checkin service,Satisfied,3.904888888888889
Cleanliness,Satisfied,4.357333333333333
Departure/Arrival time convenient,Satisfied,2.7994074074074073
Ease of Online booking,Satisfied,3.104888888888889
Food and drink,Satisfied,3.7117037037037037
Gate location,Satisfied,2.8355555555555556
Inflight entertainment,Satisfied,3.664
Inflight wifi service,Satisfied,3.1004444444444443
Leg room service,Satisfied,3.501925925925926
On-board service,Satisfied,3.9034074074074074
Online boarding,Satisfied,3.0684444444444443
Online support,Satisfied,3.0077037037037035
Seat comfort,Satisfied,3.7602962962962962
