Parameter,Satisfaction,Average_Score
Baggage handling,Satisfied,3.6950830564784054
Checkin service,Satisfied,3.4019269102990033
Cleanliness,Satisfied,3.7196013289036545
Departure/Arrival time convenient,Satisfied,3.0815282392026577
Ease of Online booking,Satisfied,3.9411295681063123
Food and drink,Satisfied,3.022126245847176
Gate location,Satisfied,2.993355481727575
Inflight entertainment,Satisfied,3.875813953488372
Inflight wifi service,Satisfied,3.5772093023255813
Leg room service,Satisfied,3.624252491694352
On-board service,Satisfied,3.6221926910299005
Online boarding,Satisfied,3.7166777408637874
Online support,Satisfied,3.8600664451827242
Seat comfort,Satisfied,3.516079734219269
