Distance Bin,Seat comfort_satisfied,Departure/Arrival time convenient_satisfied,Food and drink_satisfied,Gate location_satisfied,Inflight wifi service_satisfied,Inflight entertainment_satisfied,Online support_satisfied,Ease of Online booking_satisfied,On-board service_satisfied,Leg room service_satisfied,Baggage handling_satisfied,Checkin service_satisfied,Cleanliness_satisfied,Online boarding_satisfied,Seat comfort_dissatisfied,Departure/Arrival time convenient_dissatisfied,Food and drink_dissatisfied,Gate location_dissatisfied,Inflight wifi service_dissatisfied,Inflight entertainment_dissatisfied,Online support_dissatisfied,Ease of Online booking_dissatisfied,On-board service_dissatisfied,Leg room service_dissatisfied,Baggage handling_dissatisfied,Checkin service_dissatisfied,Cleanliness_dissatisfied,Online boarding_dissatisfied
0-300,3.5335429769392035,2.9758909853249476,2.941299790356394,2.9213836477987423,3.360587002096436,3.6561844863731654,3.549266247379455,4.034591194968553,3.9842767295597485,3.9727463312368974,3.9958071278825997,3.349056603773585,4.013626834381552,3.4643605870020964,2.933774834437086,3.0033112582781456,2.9602649006622515,2.947019867549669,3.165562913907285,3.3211920529801326,3.3543046357615895,2.7417218543046356,2.7417218543046356,2.6821192052980134,2.7317880794701987,2.615894039735099,2.7417218543046356,2.774834437086093
300-600,3.5217391304347827,3.0833333333333335,3.135265700483092,3.0096618357487923,3.3496376811594204,3.776570048309179,3.814009661835749,4.019927536231884,3.9329710144927534,3.989734299516908,3.928743961352657,3.3907004830917873,3.966183574879227,3.5416666666666665,2.893854748603352,3.315642458100559,3.2946927374301676,3.1284916201117317,3.1871508379888267,3.3966480446927374,3.435754189944134,2.6759776536312847,2.6759776536312847,2.9064245810055866,2.6522346368715084,2.877094972067039,2.6759776536312847,2.7793296089385473
600-900,3.412121212121212,3.084848484848485,2.9731601731601733,3.01991341991342,3.362770562770563,3.7203463203463203,3.7852813852813854,3.966233766233766,3.8805194805194807,3.967965367965368,3.9376623376623376,3.444155844155844,3.9437229437229435,3.6086580086580087,2.8,3.358490566037736,3.2339622641509433,3.1226415094339623,3.0358490566037735,3.3849056603773584,3.3358490566037737,2.6641509433962263,2.6735849056603773,2.8566037735849057,2.667924528301887,2.7943396226415094,2.707547169811321,2.7867924528301886
900-1200,3.3806552262090483,3.046021840873635,2.985959438377535,3.0273010920436816,3.5366614664586584,3.870514820592824,3.9118564742589705,3.9664586583463337,3.6669266770670825,3.7246489859594383,3.730109204368175,3.4617784711388455,3.7527301092043683,3.6614664586583463,2.583509513742072,3.3276955602536997,2.755813953488372,3.0348837209302326,2.9841437632135306,2.7019027484143763,3.104651162790698,2.8403805496828753,2.9249471458773786,3.0528541226215644,3.2716701902748415,2.9397463002114166,3.295983086680761,2.886892177589852
1200-1500,3.5706907682375726,3.0290510006455778,2.965784377017431,2.974822466107166,3.701743060038735,3.880568108457069,3.9399612653324727,3.9767591994835376,3.4828921885087154,3.4551323434473855,3.5358295674628795,3.378308586184635,3.574564234990316,3.805035506778567,2.491952789699571,3.500536480686695,2.629291845493562,2.9983905579399144,2.8605150214592276,2.399678111587983,2.838519313304721,2.8304721030042916,3.0912017167381975,3.165772532188841,3.522532188841202,3.0756437768240343,3.561695278969957,2.8401287553648067
1500-1800,3.58000896458987,3.065441506051098,3.001344688480502,2.9636934110264455,3.6683101748095024,3.957866427610937,3.927386822052891,3.908112953832362,3.4791573285522186,3.4562976243836845,3.5365307037203046,3.4110264455401165,3.5831465710443746,3.7969520394441956,2.5320041972717733,3.503672612801679,2.6810073452256034,2.9849597761455056,2.87757957327737,2.509618747813921,2.879678209164043,2.876880027981812,3.08604407135362,3.1699895068205666,3.590416229450857,3.112277019937041,3.6155998600909407,2.8807275271073802
1800-2100,3.602165087956698,3.1488497970230043,3.0870545782589085,3.0333784393324312,3.6946323861073522,3.9431664411366714,3.884528642309427,3.920613441587731,3.475868290482634,3.4709066305818674,3.5525484889490304,3.3964817320703653,3.620658547586829,3.817771763644565,2.4923676518350115,3.4481974667099706,2.642416368950958,2.9775901266645013,2.8652159792140304,2.512179278986684,2.854822994478727,2.89671971419292,3.1328353361481,3.164014290354011,3.6102630724261124,3.1146476128613187,3.6229295225722637,2.8934719064631373
2100-2400,3.504866180048662,3.1295620437956204,3.006082725060827,2.9878345498783454,3.6538929440389296,3.928832116788321,3.8880778588807785,3.9409975669099757,3.53345498783455,3.4854014598540144,3.621654501216545,3.3564476885644767,3.6344282238442824,3.7889294403892944,2.4752556237218815,3.4936605316973415,2.6482617586912065,2.9566462167689163,2.8531697341513294,2.5042944785276076,2.8576687116564417,2.898159509202454,3.1648261758691207,3.211042944785276,3.5955010224948873,3.1595092024539877,3.6155419222903884,2.8723926380368097
2400-2700,3.5444340505144996,3.1225444340505146,3.057062675397568,2.979420018709074,3.7212347988774557,3.9869036482694105,3.898035547240412,3.940130963517306,3.5547240411599628,3.489242282507016,3.636108512628625,3.4275023386342376,3.6679139382600563,3.804490177736202,2.481266149870801,3.558139534883721,2.609173126614987,2.9405684754521966,2.87015503875969,2.5200258397932815,2.866279069767442,2.9147286821705425,3.1731266149870803,3.1705426356589146,3.604651162790698,3.1272609819121446,3.62984496124031,2.9069767441860463
2700-3000,3.447937131630648,3.1335952848722988,3.0098231827111985,3.0235756385068764,3.630648330058939,3.882121807465619,3.923379174852652,3.8762278978388998,3.495088408644401,3.512770137524558,3.6797642436149314,3.406679764243615,3.6719056974459723,3.732809430255403,2.4776785714285716,3.544642857142857,2.630580357142857,2.974330357142857,2.8895089285714284,2.5479910714285716,2.9330357142857144,2.963169642857143,3.1941964285714284,3.239955357142857,3.5379464285714284,3.1339285714285716,3.6283482142857144,2.9676339285714284
3000-3500,3.319512195121951,3.0585365853658537,2.9634146341463414,2.9585365853658536,3.5414634146341464,3.8902439024390243,3.870731707317073,3.8146341463414632,3.6146341463414635,3.578048780487805,3.8390243902439023,3.4658536585365853,3.7195121951219514,3.7195121951219514,2.4615384615384617,3.2937062937062938,2.567832167832168,2.937062937062937,2.6937062937062937,2.5244755244755246,2.7594405594405593,2.8167832167832167,3.0755244755244755,3.2097902097902096,3.4223776223776223,3.044755244755245,3.5146853146853148,2.7916083916083916
3500-4000,3.4306049822064058,3.099644128113879,3.113879003558719,3.01423487544484,3.377224199288256,3.900355871886121,3.6512455516014235,3.6370106761565837,3.402135231316726,3.512455516014235,3.907473309608541,3.2775800711743774,3.6548042704626336,3.526690391459075,2.463470319634703,3.3333333333333335,2.6506849315068495,3.0821917808219177,2.853881278538813,2.577625570776256,2.9474885844748857,3.0251141552511416,2.9680365296803655,3.175799086757991,3.4360730593607305,2.9292237442922375,3.356164383561644,2.9794520547945207
4000-5000,3.2045454545454546,2.590909090909091,2.6931818181818183,2.852272727272727,3.4431818181818183,3.875,3.8636363636363638,3.4431818181818183,3.5795454545454546,3.534090909090909,3.602272727272727,3.6704545454545454,3.6818181818181817,3.9204545454545454,2.409937888198758,3.2236024844720497,2.4968944099378882,2.9254658385093166,2.7577639751552794,2.5962732919254656,2.869565217391304,2.9565217391304346,3.0745341614906834,3.2049689440993787,3.459627329192547,2.950310559006211,3.093167701863354,2.9565217391304346
